parameters,count,mean,std,min,25%,50%,75%,max
theta.97,4000.0,-0.8594816754209674,0.44878285730201695,-2.3074337422094953,-1.1624944578524088,-0.8622246089929378,-0.5639105015352593,0.9040694368350032
theta.98,4000.0,-0.5617164679824352,0.4108437475971307,-1.7892475133680579,-0.8398843007550991,-0.5692243651749616,-0.2864710768722207,1.0033724250613139
theta.99,4000.0,-0.3961583191784985,0.4451849619636406,-1.9269956297887612,-0.6984311927252946,-0.39664297634831114,-0.10371947455478236,1.2912969612407836
theta.100,4000.0,-0.4263351509775125,0.4314620381184965,-1.9582595588510858,-0.7195111634464392,-0.4270723957465016,-0.14200903591335326,1.3660440824141233
theta.101,4000.0,0.5455589367906378,0.48623407999282275,-0.9503779215813548,0.21076350040742728,0.5479139147698455,0.8752470766568261,2.4215176152485016
theta.102,4000.0,0.06160799077331435,0.43297517914775213,-1.6010520475857652,-0.2290469305574883,0.051630652064197896,0.34635174947874436,1.6856893344581536
theta.103,4000.0,-0.9271367824105523,0.44030387291103024,-2.780663186369403,-1.22381649104104,-0.9282720314896131,-0.6284959135000284,0.6645632152061972
theta.104,4000.0,1.0287290011407266,0.47510360929950046,-0.6016718885542724,0.6983019633026374,1.034196951511972,1.3420137398088816,2.5533373927180856
theta.105,4000.0,-0.8005339250840726,0.4088268021405698,-2.1621682308651096,-1.0794770401977953,-0.8121464886348556,-0.5341142081029192,0.5838382747560545
theta.106,4000.0,1.193189585258857,0.48922007378472165,-0.31820191839890954,0.8470425521031861,1.1844702511464396,1.5239610701786417,2.7570328328609355
theta.107,4000.0,0.6496476862747853,0.48158055122235705,-1.2713057259774057,0.333116739508812,0.6536370789793371,0.96480794337966,2.2785479524859995
theta.108,4000.0,0.6883700887504931,0.4683219012483959,-1.1340722076221286,0.38550314323316925,0.6770887785843875,0.9960563568216385,2.5973269501750385
theta.109,4000.0,0.7401656529773288,0.49413790952523773,-0.9933267622596273,0.3990558631269077,0.7319750280534157,1.0620909062970594,2.570206561467883
theta.110,4000.0,1.557860944573205,0.49808385104884406,-0.07450263586385092,1.2159907534061847,1.563604765949235,1.9141349957887572,2.989874493612535
theta.111,4000.0,-0.6372037011327095,0.4477843204376857,-2.4106159304111685,-0.9354891631333594,-0.6432347771952895,-0.34552748027456237,1.1161449972688817
theta.112,4000.0,-0.11299770223711647,0.4675780464048045,-1.9270804397753618,-0.42253823047299494,-0.11898309540118032,0.20460149975661657,1.613405736257279
theta.113,4000.0,1.4475706100591414,0.49235817788813824,-0.32147012507194794,1.1027047246447552,1.4424044004605254,1.785505644391634,3.1840274277817775
theta.114,4000.0,-1.2212744897617096,0.41407712036759264,-2.736512189704473,-1.5008502579395289,-1.222581057269086,-0.9426058299726934,0.10853381954804091
theta.115,4000.0,-0.1507173253973931,0.41872684477293837,-1.6246958859448772,-0.4304184002589748,-0.1563048884325698,0.11924430201415272,1.4482426649276345
theta.116,4000.0,-0.7404869296925144,0.41925018501528666,-2.338549406418168,-1.0129415596460676,-0.7456658279513482,-0.462249541261032,0.7186599129886702
theta.117,4000.0,-0.22956689053857232,0.47409666596697947,-1.96662249124584,-0.555171314214345,-0.23052482420928772,0.07836938795971886,1.3304901089809154
theta.118,4000.0,-0.3724166440155494,0.4914438453018597,-2.006481505658535,-0.7115154773078999,-0.39042870944078645,-0.05133859257191673,1.6720571736264387
theta.119,4000.0,0.20194668930135917,0.46390784861225975,-1.7097812630907123,-0.10048936475327999,0.2057450847834173,0.5047129561166733,1.7987295761873876
theta.120,4000.0,0.0280715134221448,0.4672794394237897,-1.4391016760374529,-0.29035400333312417,0.022073028861573026,0.3374074052266622,1.6809309665840424
theta.121,4000.0,-0.4794674728919779,0.4348350643991263,-2.2281389649811816,-0.7571694548345052,-0.48140100094702365,-0.1962142888340288,1.1719255860807478
theta.122,4000.0,1.3106747965899384,0.49771842805942385,-0.43052948081326564,0.9630516988052777,1.2997952421475656,1.6482696496139042,3.061802432918805
theta.123,4000.0,-0.521847505186201,0.46317825486588654,-2.1842224108381547,-0.8410453065941433,-0.5261119832474814,-0.2097862041856905,1.2195454878193046
theta.124,4000.0,-0.21929592057697322,0.46123116676092013,-1.8890722726913018,-0.5327398294926446,-0.2257047917110906,0.08708117288271755,1.572155380497861
theta.125,4000.0,0.22072148495689312,0.5339766670122101,-1.4397427121040354,-0.1497310812010794,0.19579389922464202,0.5654669392233154,2.0593889726900265
theta.126,4000.0,0.4154495401515611,0.45763601793811065,-1.020340836830725,0.09950398644625855,0.4039445070724674,0.7211986121437679,2.0884764246539174
theta.127,4000.0,0.32918490455571864,0.4456153202609498,-1.3884591563660622,0.03597474515510296,0.3155846567269861,0.6166329905531559,2.1418395537386776
theta.128,4000.0,-0.1305949395811125,0.43343715287824885,-1.6590385052880685,-0.4357200099061463,-0.1340429602560657,0.16446692815823594,1.2183016889881113
